sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
43,0.43,1024,910,2123,2021,1,0,1,27.3161295674845,24.275076080479387,51.8310546875
44,0.44,1024,1137,2129,2027,1,0,1,27.3161295674845,30.33050714670886,51.9775390625
45,0.45,1024,910,1918,2020,1,0,1,27.3161295674845,24.275076080479387,46.826171875
46,0.46,1024,1137,2128,2026,1,0,1,27.3161295674845,30.33050714670886,51.953125
47,0.47,1024,910,1917,2019,1,0,1,27.3161295674845,24.275076080479387,46.8017578125
48,0.48,1024,1137,2127,2025,1,0,1,27.3161295674845,30.33050714670886,51.9287109375
49,0.49,1024,910,1916,2018,1,0,1,27.3161295674845,24.275076080479387,46.77734375
50,0.5,1024,1137,2126,2024,1,0,1,27.3161295674845,30.33050714670886,51.904296875
51,0.51,1024,910,1915,2017,1,0,1,27.3161295674845,24.275076080479387,46.7529296875
52,0.52,1024,1137,2125,2023,1,0,1,27.3161295674845,30.33050714670886,51.8798828125
53,0.53,1024,910,1914,2016,1,0,1,27.3161295674845,24.275076080479387,46.728515625
54,0.54,1024,1137,2124,2022,1,0,1,27.3161295674845,30.33050714670886,51.85546875
55,0.55,1024,910,1913,2015,1,0,1,27.3161295674845,24.275076080479387,46.7041015625
56,0.56,1024,1137,2123,2021,1,0,1,27.3161295674845,30.33050714670886,51.8310546875
57,0.57,1024,910,1912,2014,1,0,1,27.3161295674845,24.275076080479387,46.6796875
58,0.58,1024,1137,2122,2020,1,0,1,27.3161295674845,30.33050714670886,51.806640625
59,0.59,1024,910,1911,2013,1,0,1,27.3161295674845,24.275076080479387,46.6552734375
60,0.6,1024,1137,2121,2019,1,0,1,27.3161295674845,30.33050714670886,51.7822265625
61,0.61,1024,910,1910,2012,1,0,1,27.3161295674845,24.275076080479387,46.630859375
62,0.62,1024,910,2120,2018,1,0,1,27.3161295674845,24.275076080479387,51.7578125
63,0.63,1024,1137,2126,2024,1,0,1,27.3161295674845,30.33050714670886,51.904296875
64,0.64,1024,910,1915,2017,1,0,1,27.3161295674845,24.275076080479387,46.7529296875
65,0.65,1024,1137,2125,2023,1,0,1,27.3161295674845,30.33050714670886,51.8798828125
66,0.66,1024,910,1914,2016,1,0,1,27.3161295674845,24.275076080479387,46.728515625
67,0.67,1024,1137,2124,2022,1,0,1,27.3161295674845,30.33050714670886,51.85546875
