sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
903,9.03,1536,1545,2439,2444,1,0,1,40.97419435122675,41.214277521253464,59.5458984375
904,9.04,1536,1542,2434,2443,1,0,1,40.97419435122675,41.13424979791123,59.423828125
905,9.05,1536,1538,2436,2442,1,0,1,40.97419435122675,41.02754616678824,59.47265625
906,9.06,1536,1541,2439,2441,1,0,1,40.97419435122675,41.10757389013048,59.5458984375
907,9.07,1536,1539,2435,2440,1,0,1,40.97419435122675,41.05422207456899,59.4482421875
908,9.08,1536,1538,2436,2439,1,0,1,40.97419435122675,41.02754616678824,59.47265625
909,9.09,1536,1542,2436,2438,1,0,1,40.97419435122675,41.13424979791123,59.47265625
910,9.1,1536,1537,2431,2437,1,0,1,40.97419435122675,41.00087025900749,59.3505859375
911,9.11,1536,1535,2435,2436,1,0,1,40.97419435122675,40.947518443446,59.4482421875
912,9.12,1536,1540,2436,2436,1,0,1,40.97419435122675,41.08089798234973,59.47265625
913,9.13,1536,1534,2431,2435,1,0,1,40.97419435122675,40.92084253566525,59.3505859375
914,9.14,1536,1541,2436,2435,1,0,1,40.97419435122675,41.10757389013048,59.47265625
915,9.15,1536,1535,2429,2434,1,0,1,40.97419435122675,40.947518443446,59.3017578125
916,9.16,1536,1538,2434,2434,1,0,1,40.97419435122675,41.02754616678824,59.423828125
917,9.17,1536,1536,2431,2433,1,0,1,40.97419435122675,40.97419435122675,59.3505859375
918,9.18,1536,1533,2433,2433,1,0,1,40.97419435122675,40.89416662788451,59.3994140625
919,9.19,1536,1536,2435,2433,1,0,1,40.97419435122675,40.97419435122675,59.4482421875
920,9.2,1536,1534,2433,2433,1,0,1,40.97419435122675,40.92084253566525,59.3994140625
921,9.21,1536,1534,2434,2433,1,0,1,40.97419435122675,40.92084253566525,59.423828125
922,9.22,1536,1534,2434,2433,1,0,1,40.97419435122675,40.92084253566525,59.423828125
923,9.23,1536,1533,2434,2433,1,0,1,40.97419435122675,40.89416662788451,59.423828125
924,9.24,1536,1531,2435,2433,1,0,1,40.97419435122675,40.84081481232302,59.4482421875
925,9.25,1536,1535,2437,2433,1,0,1,40.97419435122675,40.947518443446,59.4970703125
926,9.26,1536,1532,2433,2433,1,0,1,40.97419435122675,40.86749072010376,59.3994140625
927,9.27,1536,1537,2436,2433,1,0,1,40.97419435122675,41.00087025900749,59.47265625
928,9.28,1536,1531,2431,2432,1,0,1,40.97419435122675,40.84081481232302,59.3505859375
929,9.29,1536,1530,2436,2432,1,0,1,40.97419435122675,40.81413890454227,59.47265625
930,9.3,1536,1534,2437,2432,1,0,1,40.97419435122675,40.92084253566525,59.4970703125
931,9.31,1536,1529,2433,2432,1,0,1,40.97419435122675,40.78746299676152,59.3994140625
932,9.32,1536,1531,2438,2432,1,0,1,40.97419435122675,40.84081481232302,59.521484375
933,9.33,1536,1530,2436,2432,1,0,1,40.97419435122675,40.81413890454227,59.47265625
934,9.34,1536,1533,2437,2432,1,0,1,40.97419435122675,40.89416662788451,59.4970703125
935,9.35,1536,1531,2434,2432,1,0,1,40.97419435122675,40.84081481232302,59.423828125
936,9.36,1536,1530,2436,2432,1,0,1,40.97419435122675,40.81413890454227,59.47265625
937,9.37,1536,1530,2437,2432,1,0,1,40.97419435122675,40.81413890454227,59.4970703125
938,9.38,1536,1530,2437,2432,1,0,1,40.97419435122675,40.81413890454227,59.4970703125
939,9.39,1536,1529,2437,2432,1,0,1,40.97419435122675,40.78746299676152,59.4970703125
940,9.4,1536,1529,2438,2432,1,0,1,40.97419435122675,40.78746299676152,59.521484375
941,9.41,1536,1528,2438,2432,1,0,1,40.97419435122675,40.76078708898078,59.521484375
942,9.42,1536,1526,2439,2432,1,0,1,40.97419435122675,40.70743527341928,59.5458984375
943,9.43,1536,1531,2440,2432,1,0,1,40.97419435122675,40.84081481232302,59.5703125
944,9.44,1536,1528,2436,2432,1,0,1,40.97419435122675,40.76078708898078,59.47265625
945,9.45,1536,1532,2439,2432,1,0,1,40.97419435122675,40.86749072010376,59.5458984375
946,9.46,1536,1526,2435,2432,1,0,1,40.97419435122675,40.70743527341928,59.4482421875
947,9.47,1536,1530,2440,2432,1,0,1,40.97419435122675,40.81413890454227,59.5703125
948,9.48,1536,1530,2437,2432,1,0,1,40.97419435122675,40.81413890454227,59.4970703125
949,9.49,1536,1525,2437,2432,1,0,1,40.97419435122675,40.68075936563854,59.4970703125
950,9.5,1536,1527,2441,2432,1,0,1,40.97419435122675,40.73411118120003,59.5947265625
951,9.51,1536,1526,2440,2432,1,0,1,40.97419435122675,40.70743527341928,59.5703125
952,9.52,1536,1530,2440,2432,1,0,1,40.97419435122675,40.81413890454227,59.5703125
953,9.53,1536,1528,2437,2432,1,0,1,40.97419435122675,40.76078708898078,59.4970703125
954,9.54,1536,1527,2439,2432,1,0,1,40.97419435122675,40.73411118120003,59.5458984375
955,9.55,1536,1527,2440,2432,1,0,1,40.97419435122675,40.73411118120003,59.5703125
956,9.56,1536,1526,2440,2432,1,0,1,40.97419435122675,40.70743527341928,59.5703125
957,9.57,1536,1526,2440,2432,1,0,1,40.97419435122675,40.70743527341928,59.5703125
958,9.58,1536,1527,2440,2432,1,0,1,40.97419435122675,40.73411118120003,59.5703125
959,9.59,1536,1526,2440,2432,1,0,1,40.97419435122675,40.70743527341928,59.5703125
960,9.6,1536,1525,2440,2432,1,0,1,40.97419435122675,40.68075936563854,59.5703125
961,9.61,1536,1529,2441,2432,1,0,1,40.97419435122675,40.78746299676152,59.5947265625
962,9.62,1536,1526,2438,2432,1,0,1,40.97419435122675,40.70743527341928,59.521484375
963,9.63,1536,1532,2440,2432,1,0,1,40.97419435122675,40.86749072010376,59.5703125
964,9.64,1536,1526,2435,2432,1,0,1,40.97419435122675,40.70743527341928,59.4482421875
965,9.65,1536,1525,2440,2432,1,0,1,40.97419435122675,40.68075936563854,59.5703125
966,9.66,1536,1530,2441,2432,1,0,1,40.97419435122675,40.81413890454227,59.5947265625
967,9.67,1536,1525,2437,2432,1,0,1,40.97419435122675,40.68075936563854,59.4970703125
968,9.68,1536,1528,2441,2432,1,0,1,40.97419435122675,40.76078708898078,59.5947265625
969,9.69,1536,1527,2439,2432,1,0,1,40.97419435122675,40.73411118120003,59.5458984375
970,9.7,1536,1530,2440,2432,1,0,1,40.97419435122675,40.81413890454227,59.5703125
971,9.71,1536,1528,2437,2432,1,0,1,40.97419435122675,40.76078708898078,59.4970703125
972,9.72,1536,1526,2439,2432,1,0,1,40.97419435122675,40.70743527341928,59.5458984375
973,9.73,1536,1529,2440,2432,1,0,1,40.97419435122675,40.78746299676152,59.5703125
974,9.74,1536,1528,2438,2432,1,0,1,40.97419435122675,40.76078708898078,59.521484375
