sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
205,2.05,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
206,2.06,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
207,2.07,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
208,2.08,1024,1016,1982,1977,1,0,1,27.3161295674845,27.102722305238526,48.388671875
209,2.09,1024,1018,1984,1977,1,0,1,27.3161295674845,27.156074120800017,48.4375
210,2.1,1024,1020,1982,1977,1,0,1,27.3161295674845,27.209425936361512,48.388671875
211,2.11,1024,1017,1980,1977,1,0,1,27.3161295674845,27.12939821301927,48.33984375
212,2.12,1024,1019,1983,1977,1,0,1,27.3161295674845,27.182750028580767,48.4130859375
213,2.13,1024,1016,1981,1977,1,0,1,27.3161295674845,27.102722305238526,48.3642578125
214,2.14,1024,1017,1984,1977,1,0,1,27.3161295674845,27.12939821301927,48.4375
215,2.15,1024,1021,1983,1977,1,0,1,27.3161295674845,27.236101844142258,48.4130859375
216,2.16,1024,1017,1979,1977,1,0,1,27.3161295674845,27.12939821301927,48.3154296875
217,2.17,1024,1019,1983,1977,1,0,1,27.3161295674845,27.182750028580767,48.4130859375
218,2.18,1024,1016,1981,1977,1,0,1,27.3161295674845,27.102722305238526,48.3642578125
219,2.19,1024,1017,1984,1977,1,0,1,27.3161295674845,27.12939821301927,48.4375
220,2.2,1024,1020,1983,1977,1,0,1,27.3161295674845,27.209425936361512,48.4130859375
221,2.21,1024,1016,1980,1977,1,0,1,27.3161295674845,27.102722305238526,48.33984375
222,2.22,1024,1019,1984,1977,1,0,1,27.3161295674845,27.182750028580767,48.4375
223,2.23,1024,1018,1981,1977,1,0,1,27.3161295674845,27.156074120800017,48.3642578125
224,2.24,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
225,2.25,1024,1017,1983,1977,1,0,1,27.3161295674845,27.12939821301927,48.4130859375
226,2.26,1024,1015,1983,1977,1,0,1,27.3161295674845,27.07604639745778,48.4130859375
227,2.27,1024,1017,1985,1977,1,0,1,27.3161295674845,27.12939821301927,48.4619140625
228,2.28,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
229,2.29,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
230,2.3,1024,1017,1983,1977,1,0,1,27.3161295674845,27.12939821301927,48.4130859375
231,2.31,1024,1016,1983,1977,1,0,1,27.3161295674845,27.102722305238526,48.4130859375
232,2.32,1024,1017,1984,1977,1,0,1,27.3161295674845,27.12939821301927,48.4375
233,2.33,1024,1016,1983,1977,1,0,1,27.3161295674845,27.102722305238526,48.4130859375
234,2.34,1024,1016,1984,1977,1,0,1,27.3161295674845,27.102722305238526,48.4375
235,2.35,1024,1017,1984,1977,1,0,1,27.3161295674845,27.12939821301927,48.4375
236,2.36,1024,1016,1983,1977,1,0,1,27.3161295674845,27.102722305238526,48.4130859375
237,2.37,1024,1016,1984,1977,1,0,1,27.3161295674845,27.102722305238526,48.4375
238,2.38,1024,1016,1984,1977,1,0,1,27.3161295674845,27.102722305238526,48.4375
239,2.39,1024,1016,1984,1977,1,0,1,27.3161295674845,27.102722305238526,48.4375
240,2.4,1024,1014,1984,1977,1,0,1,27.3161295674845,27.04937048967703,48.4375
241,2.41,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
242,2.42,1024,1020,1984,1977,1,0,1,27.3161295674845,27.209425936361512,48.4375
243,2.43,1024,1016,1980,1977,1,0,1,27.3161295674845,27.102722305238526,48.33984375
244,2.44,1024,1019,1984,1977,1,0,1,27.3161295674845,27.182750028580767,48.4375
245,2.45,1024,1015,1981,1977,1,0,1,27.3161295674845,27.07604639745778,48.3642578125
246,2.46,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
247,2.47,1024,1019,1984,1977,1,0,1,27.3161295674845,27.182750028580767,48.4375
248,2.48,1024,1015,1981,1977,1,0,1,27.3161295674845,27.07604639745778,48.3642578125
249,2.49,1024,1019,1985,1977,1,0,1,27.3161295674845,27.182750028580767,48.4619140625
250,2.5,1024,1018,1981,1977,1,0,1,27.3161295674845,27.156074120800017,48.3642578125
